Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-035829,2015-07,07/14/2015 01:00,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",2500,S 18TH ST,21, , ,1037,FAIRMOUNT,902065.8,1008662
15-034893,2015-07,07/14/2015 01:00,Y, , ,1, , 44015,6,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,0,PARTRIDGE AVE / RIVERVIEW BLVD,72, , , , ,890865.9,1045186
15-035133,2015-07,07/14/2015 01:00,Y, , ,1, , 51221,1,BURGLARY-RESIDENCE/NIT/UNLAW ENT/OCCUPIED,4315,BATES ST,5, ,ONE STORY SINGLE FAMILY RESIDENCE,4315,BATES,886125.6,998931.2
15-034887,2015-07,07/14/2015 01:22,Y, , ,1, , 51222,2,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,3663,CLEVELAND AVE,27, ,#1127820,3663,CLEVELAND,893687.4,1011396
15-034888,2015-07,07/14/2015 01:40,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5750,NATURAL BRIDGE AVE,50, , , , ,885556.4,1038533
15-034896,2015-07,07/14/2015 02:20,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4641,LABADIE AVE,56, , ,4641,LABADIE,892767.5,1032206
15-034894,2015-07,07/14/2015 02:30,Y, , ,1, , 51211,3,BURGLARY-RESIDENCE/NIT/FORCE ENT/OCCUPIED,3708,MINNESOTA AVE,19, , ,3708,MINNESOTA,895829.5,1003319
15-034891,2015-07,07/14/2015 02:30,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,286,DE BALIVIERE AVE,47, ,ALIAS DEBALIVIERE/PERSHING AVE CITY, , ,881596.2,1025069
15-034897,2015-07,07/14/2015 02:32,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,7829,RIO SILVA PL,1, ,APT A,7829,RIO SILVA,886093.3,990152.9
15-034898,2015-07,07/14/2015 02:40,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,2601,WHITTIER ST,57, ,HOMER G. PHILLIPS SENIOR APARTMENTS,4310,ST FERDINAND,895657.7,1028977
15-034933,2015-07,07/14/2015 03:00,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5061,MIAMI ST,14, , ,5061,MIAMI,883655.6,1006000
15-034895,2015-07,07/14/2015 03:31,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1309,N 7TH ST,62, ,APT F,1309,7TH,909300.3,1021072
15-034899,2015-07,07/14/2015 03:50,Y, , ,1, , 51221,1,BURGLARY-RESIDENCE/NIT/UNLAW ENT/OCCUPIED,5741,GOENER AVE,5, , ,5741,GOENER,884872.6,998926.8
15-034903,2015-07,07/14/2015 04:30,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5039,ST LOUIS AVE,52, ,1ST FL,5039,ST LOUIS,889692.2,1033751
15-034901,2015-07,07/14/2015 04:36,Y, , ,1, , 43201,5,AGG.ASSAULT-OTH DANG WEP/POL OFFC 1ST DEGREE,5800,DR MARTIN LUTHER KING DR,78, , , , ,883179.5,1033628
15-035049,2015-07,07/14/2015 05:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3717,MINNESOTA AVE,19, , ,3717,MINNESOTA,895630.9,1003262
15-035185,2015-07,07/14/2015 05:15,Y, , ,1, , 31422,5,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,4949,BARNES JEWISH HOSPITAL PLZ,38, ,@HOSPITAL - BARNES JEWISH,4949, ,887396.8,1020150
15-034949,2015-07,07/14/2015 06:30,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,1000,N GRAND BLVD,77, , ,3710,ENRIGHT,897508.7,1022846
15-036949,2015-07,07/14/2015 06:45,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,346,CHRISTIAN AVE,74, , ,346,CHRISTIAN,897813.2,1046859
15-034909,2015-07,07/14/2015 07:05,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4232,E COOK AVE,58, , ,4232,COOK,894016.6,1025922
15-035237,2015-07,07/14/2015 07:30,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,3918,FLAD AVE,27, , ,3918,FLAD,892607.5,1011663
15-035116,2015-07,07/14/2015 07:45,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,6017,DEVONSHIRE AVE,8, , ,6017,DEVONSHIRE,878810.3,1003437
15-034943,2015-07,07/14/2015 07:59,Y, , ,1, , 92000,2,SIMPLE ASSAULT-HARRASSMENT,2255,S GRAND BLVD,27, ,SUBWAY,2255,GRAND,894126.1,1011007
15-035243,2015-07,07/14/2015 08:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5291,LINDELL BLVD,38, , ,5291,LINDELL,884756.4,1023956
15-035609,2015-07,07/14/2015 08:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,6304,MINNESOTA AVE,1, , ,5304,MINNESOTA,891758.8,991931.1
15-036789,2015-07,07/14/2015 08:00,Y, , ,1, ,121000,4,EMBEZZLEMENT-VALUE OVER $150,1120,HOWARD ST,63,ROCK BOTTOM WHOLESALE COMPANY, ,1120,HOWARD,908234.4,1023008
15-034920,2015-07,07/14/2015 08:20,Y, , ,1, ,175500,3,SEX OFFNS-SX MISCONDUCT/FIRST,3600,CHIPPEWA ST,16, , , , ,0,0
15-034917,2015-07,07/14/2015 08:29,Y, , ,1, ,250000,1,LOITERING-BEGGING,6900,IDAHO AVE,1, ,I55 N EXIT RAMP, , ,889259.4,991516.9
15-034942,2015-07,07/14/2015 09:00,Y, , ,1, ,162000,3,PROSTITUTION-PATRONIZING,3500,KLOCKE ST,16, , ,3500,KLOCKE,893701.3,1000827
15-035189,2015-07,07/14/2015 09:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1608,S BROADWAY,20, , ,1608,BROADWAY,906363.9,1010788
15-035160,2015-07,07/14/2015 09:00,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5507,LOUISIANA AVE,1, ,APT A,5507,LOUISIANA,891212.8,995990.5
15-034924,2015-07,07/14/2015 09:10,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,315,N 9TH ST,35, ,SIDEWALK/ STREET, , ,907779.2,1018012
15-034939,2015-07,07/14/2015 09:10,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,1,N GRAND BLVD,37,ST. LOUIS UNIVERSITY (DUBOURG HALL),COLLEGE,1,GRAND,896288.8,1019970
15-036130,2015-07,07/14/2015 09:27,Y, , ,1, ,266510,3,PUBLIC ORDER-TRESPASSING,2923,CHEROKEE ST,19, , ,2923,CHEROKEE,896477.8,1005426
15-035042,2015-07,07/14/2015 09:30,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3400,HAMILTON AVE,50,HILLVALE APARTMENTS, ,3400,HAMILTON,884386.2,1037987
15-035760,2015-07,07/14/2015 09:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3400,HAMILTON AVE,50,HILLVALE APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,3400,HAMILTON,884386.2,1037987
15-036990,2015-07,07/14/2015 10:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3652,BOTANICAL AVE,27, , ,3650,BOTANICAL,893662.9,1010563
15-034938,2015-07,07/14/2015 10:13,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,1400,GOODFELLOW BLVD,78, ,WHT SILV ACCEN DL3L4G 2X, , ,882758.9,1032676
15-034960,2015-07,07/14/2015 10:15,Y, , ,1, , 72130,5,AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE,388,N EUCLID AVE,38, , ,388,EUCLID,888549,1024878
15-034945,2015-07,07/14/2015 10:30,Y, , ,1, ,162000,3,PROSTITUTION-PATRONIZING,4100,S GRAND BLVD,16, , ,4100,GRAND,893293.9,1001202
15-034941,2015-07,07/14/2015 10:30,Y, , ,1, ,162000,3,PROSTITUTION-PATRONIZING,3500,KLOCKE ST,16, , ,3500,KLOCKE,893701.3,1000827
15-034951,2015-07,07/14/2015 10:40,Y, , ,1, ,162000,1,PROSTITUTION-PATRONIZING,3500,KLOCKE ST,16, , , , ,893344.6,1000881
15-034944,2015-07,07/14/2015 10:45,Y, , ,1, ,162000,3,PROSTITUTION-PATRONIZING,3500,KLOCKE ST,16, , ,3500,KLOCKE,893701.3,1000827
15-034956,2015-07,07/14/2015 10:50,Y, , ,1, ,142320,0,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,UNKNOWN,0, , ,6028,ETZEL,0,0
15-035034,2015-07,07/14/2015 11:00,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4949,BARNES JEWISH HOSPITAL PLZ,38,BARNES JEWISH HOSPITAL, ,4949, ,887396.8,1020150
15-034961,2015-07,07/14/2015 11:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,6502,NASHVILLE AVE,42, , ,6502,NASHVILLE,878500.5,1016888
15-034953,2015-07,07/14/2015 11:25,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,1200,ST ANGE LN,33,CLINTON PEABODY HOUSING COMPLEX, , , ,904245.2,1013903
15-034962,2015-07,07/14/2015 12:05,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,6650,MANCHESTER AVE,10, ,@KMART - MANCHESTER,6650,MANCHESTER,877121.1,1013930
15-034976,2015-07,07/14/2015 12:05,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5014,VIRGINIA AVE,16, , ,5014,VIRGINIA,893327.3,996290.4
15-035111,2015-07,07/14/2015 13:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",4250,MIAMI ST,15, , ,4250,MIAMI,888491.7,1005031
15-034973,2015-07,07/14/2015 13:02,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,5241,COLUMBIA AVE,13, , , , ,884643.1,1011388
15-035007,2015-07,07/14/2015 13:30,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1928,GRAVOIS AVE,22, , ,317,DAVIS,901215.4,1010132
15-034986,2015-07,07/14/2015 13:37,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3933,VIRGINIA AVE,16, , ,3933,VIRGINIA,894417.9,1001921
15-036595,2015-07,07/14/2015 13:44,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,3260,S KINGSHIGHWAY BLVD,15, , ,3260,KINGSHIGHWAY,886068.4,1007486
15-034983,2015-07,07/14/2015 13:44,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",823,GUSTAV AVE,74, , ,819,GUSTAV,897410.3,1052718
15-034989,2015-07,07/14/2015 14:00,Y, , ,1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3658,VIRGINIA AVE,19, , ,3658,VIRGINIA,894877.6,1003622
15-034980,2015-07,07/14/2015 14:06,Y, , ,1, ,250000,4,LOITERING-BEGGING,300,CARR ST,35, ,STREET,300,CARR,910318.8,1019871
15-034981,2015-07,07/14/2015 14:09,Y, , ,1, ,250000,4,LOITERING-BEGGING,1000,N BROADWAY,62, ,NEAR CROSSWALK,1000,BROADWAY,909758.9,1019796
15-035008,2015-07,07/14/2015 14:10,Y, , ,1, , 72113,3,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,3429,IOWA AVE,19, , ,3429,IOWA,897559,1004853
15-034988,2015-07,07/14/2015 14:15,Y, , ,1, , 69703,4,LARCENY-ALL OTH/FRM PRSN/UNDER $500,0,N 9TH ST / CARR ST,62, , , , ,908442.5,1020385
15-034995,2015-07,07/14/2015 14:30,Y, , ,1, ,152200,1,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4210,MERAMEC ST,5, , ,4210,MERAMEC,888244.7,1003634
15-035023,2015-07,07/14/2015 14:45,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3921,VIRGINIA AVE,16, , ,3921,VIRGINIA,894440.9,1002065
15-035002,2015-07,07/14/2015 15:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,3431,UNION BLVD,50, ,@SCHNUCKS - CITY PLAZA ON UNION, , ,888884.8,1036000
15-035177,2015-07,07/14/2015 15:00,Y, , ,1, , 73313,1,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48,3443,ITASKA ST,16, , ,3443,ITASKA,892743.6,997679.4
15-035070,2015-07,07/14/2015 15:00,Y, , ,1, , 51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,3541,ILLINOIS AVE,18, , ,3541,ILLINOIS,899384.8,1003752
15-035110,2015-07,07/14/2015 15:00,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4630,W FLORISSANT AVE,71, , ,4630,FLORISSANT,897194.7,1037922
15-034996,2015-07,07/14/2015 15:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,1912,CARR DR,61, , ,1912,CARR,904559.3,1021416
15-036221,2015-07,07/14/2015 15:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4561,DELMAR BLVD,54,COLLIER BRO S AUTO SHOP, ,4561,DELMAR,890078.9,1026051
15-035006,2015-07,07/14/2015 15:23,Y, , ,1, , 33111,2,ROBBERY-BANK     /FIREARM USED/SUCCESSFUL,6900,CLAYTON AVE,44,LINDELL BANK,@LINDELL BANK,6900,CLAYTON,876073.4,1019101
15-035003,2015-07,07/14/2015 15:25,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1199,RIVERVIEW BLVD,74, , ,1199,RIVERVIEW,894567,1052209
15-035014,2015-07,07/14/2015 15:30,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,6650,MANCHESTER AVE,10,K-MART, ,6650,MANCHESTER,877121.1,1013930
15-035036,2015-07,07/14/2015 15:50,Y, , ,1, , 51112,6,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,4640,ANDERSON AVE,69, , ,4640,ANDERSON,894890.8,1036311
15-035276,2015-07,07/14/2015 16:00,Y, , ,1, , 43015,1,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,4508,LOUISIANA AVE,16, , ,1407,TUCKER,893260.1,998743.7
15-035335,2015-07,07/14/2015 16:00,Y, , ,1, , 51122,1,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,3543,BINGHAM AVE,16, ,APARTMENT,3543,BINGHAM,893358.1,999917.8
15-035178,2015-07,07/14/2015 16:00,Y, , ,1, , 66701,3,LARCENY-BICYCLES UNDER $500,3203,LEMP AVE,22, ,MULTI-FAMILY APARTMENT COMPLEX,3203,LEMP,900917.3,1006055
15-035016,2015-07,07/14/2015 16:12,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,4700,ENRIGHT AVE,54, , , , ,889487.6,1026393
15-035017,2015-07,07/14/2015 16:15,Y, , ,1, , 63701,4,LARCENY-SHOPLIFT UNDER $500,3665,PAGE BLVD,77, , ,3665,PAGE,897709.2,1024352
15-035019,2015-07,07/14/2015 16:20,Y, , ,1, , 91303,6,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,2015,E OBEAR AVE,66, , ,2015,OBEAR,903209.7,1033402
15-035019,2015-07,07/14/2015 16:20,Y, , ,1, , 91303,6,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,2015,E OBEAR AVE,66, , ,2015,OBEAR,903209.7,1033402
15-035827,2015-07,07/14/2015 16:30,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,5322,LOUGHBOROUGH AVE,6, , ,5322,LOUGHBOROUGH,880106.3,997473.5
15-035024,2015-07,07/14/2015 16:30,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,509,BATES ST,1, , ,509,BATES,892681.9,994561.8
15-035030,2015-07,07/14/2015 16:45,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,433,THATCHER AVE,74, , ,433,THATCHER,897961.1,1045582
15-035022,2015-07,07/14/2015 16:46,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2935,LOCUST ST,37, , ,2935,LOCUST,899820.9,1020530
15-036127,2015-07,07/14/2015 17:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",8000,HALL ST,79, , ,8000,HALL,898772.4,1047846
15-035134,2015-07,07/14/2015 17:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4822,ASHLAND AVE,55, ,GARAGE,4822,ASHLAND,891744.5,1033455
15-035210,2015-07,07/14/2015 17:00,Y, , ,1, , 69711,3,LARCENY-ALL OTHER UNDER $500  /ATTEMPT,1908,LAFAYETTE AVE,32,CITY CHURCH STL, ,1908,LAFAYETTE,901949.1,1012405
15-035439,2015-07,07/14/2015 17:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5944,PARK LN,73, , ,5944,PARK,891968.1,1048361
15-035029,2015-07,07/14/2015 17:15,Y, , ,1, , 69703,3,LARCENY-ALL OTH/FRM PRSN/UNDER $500,2830,CHEROKEE ST,19, , , , ,896979.9,1005176
15-035028,2015-07,07/14/2015 17:23,Y, , ,1, , 31211,6,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL,8390,HALL ST,79, , ,8390,HALL,898406.4,1049542
15-035093,2015-07,07/14/2015 17:30,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1918,PRESIDENT ST,18, , ,1918,PRESIDENT,900300.9,1003748
15-035145,2015-07,07/14/2015 17:30,Y, , ,1, , 71040,6,AUTO THEFT-PERM RETNT/ATTEMPT,881,RIVERTRAIL CT,74, , ,881,RIVERTRAIL,898971.5,1054316
15-035236,2015-07,07/14/2015 17:56,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",6161,DELMAR BLVD,46, , ,4945,MIAMI,877404.6,1027557
15-035201,2015-07,07/14/2015 18:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,300,S GRAND BLVD,37, , ,300,GRAND,896423.8,1019015
15-035071,2015-07,07/14/2015 18:00,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",3424,HUMPHREY ST,25, , ,3424,HUMPHREY,894611.8,1006530
15-035228,2015-07,07/14/2015 18:01,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4265,SHAW AVE,27,THE WORD AT SHAW (CHURCH), ,4265,SHAW,889950.1,1013600
15-035039,2015-07,07/14/2015 18:25,Y, , ,1, ,115200,3,FRAUD-STEALING BY DECEIT/UNDER $150,3954,S BROADWAY,18, , ,3954,BROADWAY,898198.6,1001188
15-035117,2015-07,07/14/2015 18:30,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3901,HARTFORD ST,15, , ,3901,HARTFORD,891706.9,1008434
15-035255,2015-07,07/14/2015 19:00,Y, , ,1, , 65601,2,"LARCENY-MTR VEH PARTS $500 - $24,999",4568,OAKLAND AVE,39, , ,4568,OAKLAND,887860.1,1017602
15-035043,2015-07,07/14/2015 19:10,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6001,W FLORISSANT AVE,73, , ,6001,FLORISSANT,891175.6,1047253
15-035048,2015-07,07/14/2015 19:18,Y, , ,1, , 92000,3,SIMPLE ASSAULT-HARRASSMENT,4029,OHIO AVE,16, ,SINGLE FAMILY DWELLING,4029,OHIO,897258.9,1000877
15-035074,2015-07,07/14/2015 20:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,757,N SKINKER BLVD,48, , , , ,877534.1,1028419
15-035047,2015-07,07/14/2015 20:00,Y, , ,1, ,229999,1,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,7900,S BROADWAY,2, , , , ,888770.8,987462.8
15-035348,2015-07,07/14/2015 20:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",5529,ALASKA AVE,1, , ,5529,ALASKA,891364.5,995570.3
15-035120,2015-07,07/14/2015 20:00,Y, , ,1, , 52330,5,BURGLARY-BUSINESS/UNK TIME/FORC ENT/OCCUPIED,4132,DR MARTIN LUTHER KING DR,58,MARKEITH MARKET,4132 DR MARTIN L KING CITY,4132,DR MARTIN LUTHER KING,894617.4,1027113
15-035053,2015-07,07/14/2015 20:15,Y, , ,1, , 31311,4,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL,1300,CASS AVE,62, , ,201,17TH,907596.9,1022461
15-035072,2015-07,07/14/2015 20:15,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,DELMAR BLVD / N SKINKER BLVD,46, , , , ,877404.6,1027557
15-035050,2015-07,07/14/2015 20:28,Y, , ,1, , 41016,6,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,1830,SWITZER AVE,73, , ,1830,SWITZER,891224.9,1049927
15-035050,2015-07,07/14/2015 20:28,Y, , ,1, , 41014,6,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,1830,SWITZER AVE,73, , ,1830,SWITZER,891224.9,1049927
15-035099,2015-07,07/14/2015 20:30,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,6161,DELMAR BLVD,46, , ,6161,DELMAR,877404.6,1027557
15-035057,2015-07,07/14/2015 20:35,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,1958,E ADELAIDE AVE,68, , ,1958,ADELAIDE,901201.1,1035460
15-035058,2015-07,07/14/2015 20:40,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,8900,RIVERVIEW BLVD,74, , , , ,894300.8,1050892
15-035058,2015-07,07/14/2015 20:40,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,8900,RIVERVIEW BLVD,74, , , , ,894300.8,1050892
15-035238,2015-07,07/14/2015 20:40,Y, , ,1, , 71030,5,AUTO THEFT-PERM RETNT/JOY RIDE,5885,WABADA AVE,50, , ,5885,WABADA,883056.1,1035290
15-035058,2015-07,07/14/2015 20:40,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,8900,RIVERVIEW BLVD,74, , , , ,894300.8,1050892
15-035058,2015-07,07/14/2015 20:40,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,8900,RIVERVIEW BLVD,74, , , , ,894300.8,1050892
15-035054,2015-07,07/14/2015 20:55,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,5400,WABADA AVE,50, , ,4900,TERRY,886495.3,1033405
15-035126,2015-07,07/14/2015 21:00,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,1834,VICTOR ST,22, ,ON STREET,1834,VICTOR,901600.3,1008819
15-035104,2015-07,07/14/2015 21:00,Y, , ,1, , 71040,6,AUTO THEFT-PERM RETNT/ATTEMPT,4567,ATHLONE AVE,68, , ,4567,ATHLONE,899070.6,1035883
15-035130,2015-07,07/14/2015 21:00,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",4419,ARCO AVE,39, , ,4419,ARCO,888999.7,1017794
15-035144,2015-07,07/14/2015 21:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3846,CONNECTICUT ST,15, , ,3846,CONNECTICUT,892128.7,1007532
15-035052,2015-07,07/14/2015 21:05,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",915,MANHATTAN PL,62,COCHRAN GARDENS HOUSING COMPLEX, , , ,908580.1,1021740
15-035055,2015-07,07/14/2015 21:10,Y, , ,1, , 42011,1,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,5610,S COMPTON AVE,1, , ,5610,COMPTON,892852.6,994174.5
15-035059,2015-07,07/14/2015 21:10,Y, , ,1, ,182130,5,DRUGS-POSSESSION/HEROIN,1900,HODIAMONT AVE,50, ,BLOCK, , ,881839.4,1035281
15-035118,2015-07,07/14/2015 21:15,Y, , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,2926,N EUCLID AVE,55, , ,2926,EUCLID,891041.9,1033219
15-035429,2015-07,07/14/2015 21:30,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5230,LOUGHBOROUGH AVE,6, , ,5230,LOUGHBOROUGH,880435.6,997245.4
15-035056,2015-07,07/14/2015 21:39,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1500,PARK AVE,33,AT STILL UNIVERSITY, ,1500,PARK,903776.8,1013299
15-035127,2015-07,07/14/2015 22:00,Y, , ,1, , 51330,4,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,3841,WESTMINSTER PL,77, ,REAR GARAGE,3841,WESTMINSTER,894723,1022110
15-035065,2015-07,07/14/2015 22:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",4344,VIRGINIA AVE,16, , ,4344,VIRGINIA,894100.1,999189.6
15-035112,2015-07,07/14/2015 22:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4734,S COMPTON AVE,17, , ,4734,COMPTON,894088.5,996631.6
15-035103,2015-07,07/14/2015 22:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,6587,SCANLAN AVE,9, , ,6587,SCANLAN,876573.8,1009587
15-035106,2015-07,07/14/2015 22:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,7004,NOTTINGHAM AVE,9, , ,7002,NOTTINGHAM,872288.4,1003338
15-035090,2015-07,07/14/2015 22:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,904,SOULARD ST,21, , ,911,SOULARD,904834.8,1011087
15-035062,2015-07,07/14/2015 22:05,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5608,S COMPTON AVE,1, , ,5608,COMPTON,892852.6,994174.5
